brand_names,model name,price,score,processor brand,processor type,processor gen,type of core,no of threads,Ram,ram type,storage type,storage capacity,screen size,screen resolution,OS,Warranty
apple,Apple MacBook Air 2022 ,107990,,Apple,m2,,8,8.0,8,ddr4,SSD,256.0,13.6, 2560 x 1664 ,Mac ,1.0
asus,Asus Zenbook 17 Fold UX9702AA-MD023WS ,329990,80.0,Intel,i7,12.0,10,16.0,16,lpddr5,SSD,1024.0,17.3, 2560 x 1920 ,Windows 11 ,1.0
nokia,Nokia PureBook S14 NKi511TL165S ,40990,62.0,Intel,i5,11.0,4,16.0,16,ddr4,SSD,512.0,14.1, 1920 x 1080 ,Windows ,1.0
apple,Apple MacBook Pro 16 inch ,349900,66.0,Apple,m2,,12,32.0,32,unified,SSD,1024.0,16.2, 3456 x 2234 ,Mac ,1.0
asus,Asus Vivobook Pro 15 OLED M6500IH-HN701WS ,59990,69.0,AMD,ryzen,4.0,8,16.0,16,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
lenovo,Lenovo IdeaPad Slim 5 82SF008YIN ,68300,66.0,Intel,i5,12.0,10,16.0,16,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
asus,Asus TUF Gaming A15 2022 FA577RE-HN055WS Gaming ,88687,80.0,AMD,ryzen,6.0,8,16.0,16,ddr5,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
asus,Asus VivoBook 14 X415EA-EK701WS ,56990,69.0,Intel,i7,11.0,4,16.0,16,ddr4,SSD,512.0,14.0, 1920 x 1080 ,Windows 11 ,1.0
asus,Asus VivoBook 15 X1500EA-EJ701W ,56490,63.0,Intel,i7,11.0,4,16.0,16,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
hp,HP 247 G8 ‎6B5R3PA ,30290,,AMD,ryzen,5.0,4,8.0,8,ddr4,SSD,512.0,14.0, 1366 x 768 ,DOS,1.0
asus,Asus Vivobook 15 2022 X1502ZA-EJ312WS ,42600,,Intel,i3,12.0,10,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
hp,HP Pavilion 14-dv2041TU ,71990,62.0,Intel,i5,12.0,10,16.0,16,ddr4,SSD,512.0,14.0, 1920 x 1080 ,Windows 11 ,1.0
asus,Asus Vivobook Pro 14 OLED M3400QA-KM502WS Gaming ,53990,69.0,AMD,ryzen,5.0,6,8.0,8,ddr4,SSD,512.0,14.0, 2880 x 1800 ,Windows 11 ,1.0
asus,Asus TUF Gaming A15 FA506IHRZ-HN111W ,54589,69.0,AMD,ryzen,4.0,6,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
acer,Acer Aspire 5 A515-57G UN.K9TSI.002 Gaming ,62990,69.0,Intel,i5,12.0,12,16.0,16,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
lenovo,Lenovo IdeaPad Slim 3 82RK0062IN ,57459,,Intel,i5,12.0,10,8.0,8,ram,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
lenovo,Lenovo IdeaPad Slim 1 82R1004AIN ,38900,61.0,AMD,ryzen,3.0,4,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
msi,MSI Gaming Crosshair 15 B12UEZ-677IN ,110900,84.0,Intel,i7,12.0,14,16.0,16,ddr4,SSD,1024.0,15.6, 2560 x 1440 ,Windows 11 ,2.0
dell,Dell G15-5511 Gaming ,69790,69.0,Intel,i5,11.0,6,16.0,16,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
hp,HP Pavilion 15-eg2002TU ,70990,65.0,Intel,i5,12.0,12,16.0,16,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
hp,HP 14s-fq1092au ,46300,65.0,AMD,ryzen,5.0,6,8.0,8,ddr4,SSD,512.0,14.0, 1920 x 1080 ,Windows 11 ,1.0
asus,Asus VivoBook 15 X515EA-EJ322WS ,38490,,Intel,i3,11.0,2,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
hp,HP Victus 16-e0162AX Gaming ,56960,65.0,AMD,ryzen,5.0,6,8.0,8,ddr4,SSD,512.0,16.1, 1920 x 1080 ,Windows 10 ,1.0
dell,Dell Latitude 5420 ,74500,60.0,Intel,i5,11.0,4,8.0,8,ddr4,SSD,256.0,14.0, 1920 x 1080 ,Windows 10 ,1.0
dell,Dell Latitude 3420 ,66990,,Intel,i5,11.0,4,8.0,8,ddr4,SSD,512.0,14.0, 1366 x 768 ,Windows 10 ,1.0
hp,HP 14s-dq2649TU ,45890,,Intel,i3,11.0,2,8.0,8,ddr4,SSD,512.0,14.0, 1920 x 1080 ,Windows 11 ,1.0
hp,HP 247 G8 600A9PA ,32999,61.0,AMD,ryzen,5.0,4,8.0,8,ddr4,SSD,512.0,14.0, 1366 x 768 ,Windows 11 ,1.0
asus,Asus VivoBook 15 K513EP-BQ1093T ,45990,,Intel,i5,11.0,4,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 10 ,1.0
lenovo,Lenovo IdeaPad Gaming 3 15IHU6 82K101GSIN ,54990,72.0,Intel,i5,11.0,4,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
hp,HP 14s-dr3001TU ,26990,,Intel,pentium,,4,8.0,8,ddr4,SSD,256.0,14.0, 1366 x 768 ,Windows 11 ,1.0
asus,Asus VivoBook 14 X415JA-EK522WS ,41990,60.0,Intel,i5,10.0,4,8.0,8,ddr4,SSD,512.0,14.0, 1920 x 1080 ,Windows 11 ,
lenovo,Lenovo E41-55 82FJ00AGIH ,18990,,AMD,athlon,,2,4.0,4,ddr4,SSD,256.0,14.0, 1920 x 1080 ,Windows 11 ,1.0
acer,Acer Aspire 3 A315-59 ,39990,,Intel,i3,12.0,6,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
lenovo,Lenovo IdeaPad Gaming 3 82K201Y9IN ,50850,73.0,AMD,ryzen,5.0,6,8.0,8,ddr4,Hard Disk,1024.0,15.6, 1920 x 1080 ,Windows 11 ,
asus,Asus VivoBook 15 X515EA-EJ522WS ,50990,61.0,Intel,i5,11.0,4,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
lenovo,Lenovo IdeaPad Slim 3 82KU017EIN ,48990,65.0,AMD,ryzen,5.0,6,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
infinix,Infinix INBook X1 Neo XL22 ,24999,,Intel,celeron,,4,8.0,8,lpddr4x,SSD,256.0,14.0, 1920 x 1080 ,Windows 11 ,1.0
hp,HP 15s-fq2671TU ,38490,,Intel,i3,,2,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
xiaomi,Xiaomi Redmi Book Pro 15 2022 ,61990,73.0,Intel,i5,12.0,8,16.0,16,lpddr5,SSD,512.0,15.6, 3200 x 2000 ,Windows 10 ,1.0
lenovo,Lenovo IdeaPad Gaming 3 82K201ULIN ,66829,75.0,AMD,ryzen,5.0,6,16.0,16,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
apple,Apple MacBook Pro 2022 ,139990,,Apple,m2,,8,8.0,8,ram,SSD,512.0,13.3, 2560 x 1600 ,Mac ,1.0
lenovo,Lenovo Ideapad Slim 3 81WB01EBIN ,36490,60.0,Intel,i3,10.0,2,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,2.0
asus,Asus Vivobook S14 OLED S3402ZA-KM501WS ,74990,63.0,Intel,i5,12.0,12,16.0,16,ddr4,SSD,512.0,14.0, 2880 x 1800 ,Windows 11 ,1.0
lenovo,Lenovo V15-IGL 82C3A008IH ,19990,,Intel,celeron,,2,4.0,4,ddr4,SSD,256.0,15.6, 1920 x 1080 ,DOS,1.0
realme,Realme Book Slim ,59990,61.0,Intel,i5,11.0,4,8.0,8,lpddr4x,SSD,512.0,14.0, 1440 x 2160 ,Windows 10 ,1.0
samsung,Samsung Galaxy Book 2 NP550XED-KA3IN ,72990,63.0,Intel,i7,11.0,10,16.0,16,lpddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
lenovo,Lenovo IdeaPad Gaming 3 82K1017WIN ,52900,71.0,Intel,i5,11.0,4,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
hp,HP Victus 15-fa0092TX ,81990,69.0,Intel,i5,12.0,8,16.0,16,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
asus,Asus VivoBook 14 2022 X1402ZA-MW511WS ,66990,74.0,Intel,i5,12.0,12,16.0,16,ddr4,SSD,512.0,14.0, 1920 x 1080 ,Windows 11 ,1.0
acer,Acer Aspire 7 A715-51G NH.QGCSI.001 Gaming ,69990,74.0,Intel,i5,12.0,12,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
acer,Acer One 14 Z2-493 ,29990,,AMD,ryzen,3.0,2,8.0,8,ddr4,SSD,256.0,14.0, 1366 x 768 ,Windows 11 ,1.0
dell,Dell Inspiron 3525 D560789WIN9S ,49350,68.0,AMD,ryzen,5.0,6,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
asus,Asus TUF Dash F15 2022 FX517ZC-HN108WS Gaming ,99500,76.0,Intel,i7,12.0,10,16.0,16,ddr5,SSD,1024.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
hp,HP 15s-ey1508AU ,28450,,AMD,ryzen,3.0,2,8.0,8,ddr4,SSD,256.0,15.6, 1366 x 768 ,Windows 11 ,1.0
asus,Asus VivoBook 15 X1500EA-EJ322WS ,35385,,Intel,i3,11.0,2,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
asus,Asus TUF Gaming F15,94990,79.0,Intel,i7,12.0,14,16.0,16,ddr5,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
acer,Acer Aspire 5 A515-57G Gaming ,59999,67.0,Intel,i5,12.0,12,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
dell,Dell Inspiron 7420 D560780WIN9S ,52106,65.0,Intel,i3,12.0,6,8.0,8,ddr4,SSD,256.0,,,Windows 11 ,
hp,HP 255 G8 62Y23PA ,31990,,AMD,ryzen,3.0,2,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
asus,Asus Vivobook Pro 14 OLED M3400QA-KM512WS Gaming ,59990,72.0,AMD,ryzen,5.0,6,16.0,16,ddr4,SSD,512.0,14.0, 2880 x 1800 ,Windows 11 ,1.0
asus,Asus TUF Gaming F15 FX506LHB-HN355WS Gaming ,56500,63.0,Intel,i5,10.0,4,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
honor,Honor MagicBook X14 ,46990,63.0,Intel,i5,11.0,4,8.0,8,ddr4,SSD,512.0,14.0, 1920 x 1080 ,Windows 11 ,1.0
dell,Dell Vostro 3510 ,42290,,Intel,i3,11.0,2,8.0,8,ddr4,Hard Disk,1024.0,15.6, 1920 x 1080 ,Windows 11 ,
asus,Asus Vivobook 13 Slate OLED T3300KA-LQ122WS ,29990,,Intel,pentium,,4,4.0,4,lpddr4x,Hard Disk,128.0,13.3, 1920 x 1080 ,Windows 11 ,1.0
asus,Asus VivoBook K15 OLED KM513UA-L503WS ,53990,65.0,AMD,ryzen,5.0,6,8.0,8,ddr4,Hard Disk,1024.0,15.6, 1920 x 1080 ,Windows 11 ,
hp,HP 15s-eq2143au ,38490,,AMD,ryzen,5.0,4,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows ,1.0
apple,Apple MacBook Pro 14 inch MKGP3HN ,171594,,Apple,m1,,8,16.0,16,unified,SSD,512.0,14.2, 3024 x 1964 ,Mac ,1.0
asus,Asus Chromebooks C523NA-BR0300 ,16990,,Intel,celeron,,2,4.0,4,lpddr4x,Hard Disk,,,,Chrome ,1.0
hp,HP 15s-fq2717TU ,43650,,Intel,i3,11.0,2,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
xiaomi,Xiaomi Mi Notebook Pro 14 ,57990,62.0,Intel,i5,11.0,4,16.0,16,ddr4,SSD,512.0,14.0, 2560 x 1600 ,Windows 10 ,1.0
acer,Acer Aspire 7 A715-51G UN.QGCSI.002 Gaming ,73990,76.0,Intel,i5,12.0,12,16.0,16,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
hp,HP Pavilion 15-eg2091TU ,74070,63.0,Intel,i5,12.0,12,16.0,16,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
asus,Asus VivoBook 15 X1500EA-EJ522WS ,46450,,Intel,i5,11.0,4,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
hp,HP ProBook 440 G8 ,51990,,Intel,i5,,4,8.0,8,ddr4,SSD,512.0,14.0, 1366 x 768 ,Windows 11 ,1.0
hp,HP Omen 16-n0079AX Gaming ,104990,81.0,AMD,ryzen,6.0,8,16.0,16,ddr5,SSD,512.0,16.1, 1920 x 1080 ,Windows 11 ,1.0
asus,Asus Chromebook Flip C214MA-BU0704 ,15990,,Intel,celeron,,2,4.0,4,lpddr4x,Hard Disk,32.0,11.6, 1366 x 768 ,Chrome ,1.0
lenovo,Lenovo IdeaPad Gaming 3 15IAH7 82S900R6IN ,80990,75.0,Intel,i5,12.0,8,16.0,16,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
hp,HP Pavilion 15s-FR5007TU ,62950,,Intel,i5,12.0,10,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
lenovo,Lenovo IdeaPad Flex 5 82R9008GIN ,61618,74.0,AMD,ryzen,5.0,6,16.0,16,ddr4,SSD,512.0,14.0, 1920 x 1200 ,Windows 11 ,1.0
asus,Asus Vivobook Pro 15 OLED M6500IH-L1701WS ,65990,68.0,AMD,ryzen,4.0,8,16.0,16,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
asus,Asus Vivobook 15 2022 X1502ZA-EZ311WS Touch ,45690,,Intel,i3,12.0,10,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
hp,HP 14s-dy2507TU ,35990,,Intel,i3,11.0,2,8.0,8,ddr4,SSD,256.0,14.0, 1920 x 1080 ,Windows 11 ,1.0
hp,HP Pavilion 15s-fq5112TU ,63900,,Intel,i5,12.0,10,16.0,16,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
asus,Asus ROG Strix G17 2022 G713IE-HX040W Gaming ,87990,75.0,AMD,ryzen,4.0,8,16.0,16,ddr4,SSD,1024.0,17.3, 1920 x 1080 ,Windows 11 ,1.0
acer,Acer Aspire 7 A715-75G NH.QGBSI.001 Gaming ,57990,69.0,Intel,i5,12.0,12,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
asus,Asus TUF Dash F15 2022 FX517ZC-HN035WS Gaming ,75990,72.0,Intel,i5,12.0,8,8.0,8,ddr5,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
infinix,Infinix INBook X1 Slim Series XL21 ,32990,,Intel,i3,10.0,2,8.0,8,lpddr4x,SSD,512.0,14.0, 1920 x 1080 ,Windows 11 ,1.0
asus,Asus Vivobook Pro 14 OLED M3400QA-KM702WS Gaming ,64990,71.0,AMD,ryzen,5.0,8,16.0,16,ddr4,SSD,512.0,14.0, 2880 x 1800 ,Windows 11 ,1.0
hp,HP Pavilion 14-dv2053TU ,62250,60.0,Intel,i5,12.0,10,8.0,8,ddr4,SSD,512.0,14.0, 1920 x 1080 ,Windows 11 ,1.0
dell,Dell G15-5520 ,106210,75.0,Intel,i7,12.0,14,16.0,16,ddr5,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
acer,Acer Aspire 3 A315-58 ,45599,,Intel,i5,11.0,4,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
dell,Dell Inspiron 3525 ,31850,,AMD,athlon,3.0,2,8.0,8,ddr4,SSD,256.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
samsung,Samsung Galaxy Book2 Pro 360 15 ,129990,74.0,Intel,i7,12.0,8,16.0,16,lpddr5,SSD,512.0,15.6, 1080 x 1920 ,Windows 11 ,1.0
hp,HP Pavilion 15-EC2146AX Gaming ,73829,72.0,AMD,ryzen,5.0,8,16.0,16,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
infinix,Infinix INBook X1 XL11 ,37490,,Intel,i5,10.0,4,8.0,8,lpddr4x,SSD,512.0,14.0, 1920 x 1080 ,Windows 11 ,1.0
dell,Dell Inspiron 3511 ,59306,61.0,Intel,i5,11.0,4,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 10 ,1.0
hp,HP 245 G8 ‎6E3Z1PA ,26490,,AMD,ryzen,3.0,2,8.0,8,ddr4,SSD,512.0,14.0, 1366 x 768 ,DOS,1.0
apple,Apple MacBook Pro 16 ,201498,82.0,Intel,i9,9.0,8,32.0,32,ddr4,SSD,2048.0,16.0, 3072 x 1920 ,Mac Catalina ,1.0
apple,Apple MacBook Pro 16 ,172775,73.0,Intel,i7,9.0,6,16.0,16,ddr4,SSD,1024.0,16.0, 3072 x 1920 ,Mac Catalina ,1.0
asus,Asus Vivobook Pro 16 OLED K6602HC-N1902WS Gaming ,99990,75.0,Intel,i9,11.0,8,16.0,16,ddr4,SSD,512.0,16.0, 1200 x 1920 ,Windows 11 ,1.0
acer,Acer Aspire 5 A515-57 NX.K2VSI.002 ,42990,,Intel,i3,12.0,6,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
infinix,Infinix INBook X2 Plus XL25 ,30990,,Intel,i3,11.0,2,8.0,8,lpddr4x,SSD,256.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
infinix,Infinix INBook X2 Plus XL25 ,47990,,Intel,i5,11.0,4,8.0,8,lpddr4x,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
infinix,Infinix INBook X2 Plus XL25 ,52990,,Intel,i7,11.0,4,16.0,16,lpddr4x,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
honor,Honor MagicBook 14 M-WFQ9AHNE ,44990,,AMD,ryzen,5.0,6,16.0,16,ddr4,SSD,512.0,14.0, 1920 x 1080 ,Windows 11 ,1.0
dell,Dell Inspiron 3520 D560879WIN9S ,67990,62.0,Intel,i5,12.0,10,16.0,16,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
lenovo,Lenovo IdeaPad Gaming 3 82K201V2IN ,76990,74.0,AMD,ryzen,5.0,8,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
asus,Asus Vivobook Pro 15 OLED M3500QC-L1461WS Gaming ,69500,69.0,AMD,ryzen,5.0,6,16.0,16,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
asus,Asus VivoBook 14 2022 X1402ZA-EK391WS ,44990,60.0,Intel,i3,12.0,10,8.0,8,ddr4,SSD,256.0,14.0, 1920 x 1080 ,Windows 11 ,1.0
msi,MSI Thin GF63 12HW-004IN Gaming ,73490,60.0,Intel,i5,12.0,12,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,2.0
lenovo,Lenovo IdeaPad Gaming 3 82SA00B2IN ,99918,79.0,Intel,i5,12.0,14,16.0,16,ddr4,SSD,512.0,16.0, 1920 x 1200 ,Windows 11 ,1.0
chuwi,Chuwi HeroBook Air ,15990,,Intel,,,2,4.0,4,ram,SSD,128.0,14.1, 1366 x 768 ,Windows 11 ,0.08
acer,Acer Extensa 15 EX215-54 ,33329,,Intel,i3,11.0,2,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
asus,Asus VivoBook 15 X515JA-EJ382WS ,33690,,Intel,i3,10.0,2,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
apple,Apple MacBook Air M2 2022 ,150990,,Apple,m2,,8,16.0,16,unified,SSD,512.0,13.6, 2560 x 1664 ,Mac ,1.0
hp,HP 15s-fr2514TU ,36990,,Intel,i3,11.0,2,8.0,8,ddr4,SSD,256.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
hp,HP 15s-dr3506TU ,43990,61.0,Intel,i3,11.0,2,8.0,8,ddr4,Hard Disk,1024.0,15.6, 1920 x 1080 ,Windows 11 ,
dell,Dell Inspiron 3525 ,41100,63.0,AMD,ryzen,5.0,4,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
hp,HP Victus 15-fa0350TX ,76990,75.0,Intel,i5,12.0,8,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
lenovo,Lenovo Yoga Slim 7 Pro 82NC00EWIN ,69329,62.0,Intel,i5,11.0,4,16.0,16,lpddr4x,SSD,512.0,14.0, 2880 x 1800 ,Windows 11 ,1.0
hp,HP Pavilion 15-eg2039TU ,89990,66.0,Intel,i7,12.0,12,16.0,16,ddr4,SSD,1024.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
asus,Asus Vivobook S15 OLED S3502ZA-L502WS ,72400,65.0,Intel,i5,12.0,12,16.0,16,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
asus,Asus Vivobook 15 2022 X1502ZA-BQ502WS ,56825,63.0,Intel,i5,12.0,12,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
avita,Avita Satus Ultimus S111 ,16990,,Intel,celeron,,2,4.0,4,ddr4,SSD,128.0,14.1, 1920 x 1080 ,Windows 11 ,1.0
hp,HP Pavilion 14-ec1003AU ,52545,60.0,AMD,ryzen,5.0,6,8.0,8,ddr4,SSD,512.0,14.0, 1920 x 1080 ,Windows 11 ,1.0
hp,HP 14s-fq1089au ,39990,,AMD,ryzen,5.0,4,8.0,8,ddr4,SSD,512.0,14.0, 1920 x 1080 ,Windows 11 ,1.0
apple,Apple MacBook Air 2020 Z124J001KD ,104990,,Apple,m1,,8,16.0,16,ddr4,SSD,256.0,13.3, 2560 x 1600 ,Mac ,1.0
infinix,Infinix INBook X1 XL12 ,46990,,Intel,i7,10.0,4,16.0,16,lpddr4x,SSD,512.0,14.0, 1920 x 1080 ,Windows 11 ,1.0
realme,Realme Book Slim ,46990,,Intel,i3,11.0,2,8.0,8,lpddr4x,SSD,256.0,14.0, 1440 x 2160 ,Windows 10 ,1.0
dell,Dell Inspiron 5518 ,67990,71.0,Intel,i5,11.0,4,16.0,16,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 10 ,1.0
hp,HP 11A-NA0002MU Chromebook,18629,,MediaTek,mt8183,,8,4.0,4,ddr4,Hard Disk,,,,Chrome ,
lenovo,Lenovo V15 82KDA01UIH ,32990,,AMD,ryzen,5.0,4,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,DOS,1.0
hp,HP 15s-GR0012AU ,44990,62.0,AMD,ryzen,3.0,2,8.0,8,ddr4,Hard Disk,1024.0,15.6, 1920 x 1080 ,Windows 10 ,
huawei,Huawei Qingyun L410 ,44990,,HiSilicon,kirin,,,8.0,8,ram,SSD,512.0,14.0, 1920 x 1080 ,Deepin ,1.0
apple,Apple MacBook Air 2020 MGN73HN ,104990,,Apple,m1,,8,8.0,8,ddr4,SSD,512.0,13.3, 2560 x 1600 ,Mac ,1.0
hp,HP EliteBook 840 G6,90464,,Intel,i5,8.0,4,8.0,8,ddr4,SSD,512.0,14.0, 1920 x 1080 ,Windows 10 ,3.0
hp,HP Envy x360 15-ew0048TU ,109990,73.0,Intel,i7,12.0,10,16.0,16,ddr4,SSD,1024.0,15.6, 2880 x 1800 ,Windows 11 ,1.0
asus,Asus Vivobook 15 2022 X1502ZA-EJ514WS ,56490,62.0,Intel,i5,12.0,10,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
infinix,Infinix Zero Book Series ZL12 ,64490,63.0,Intel,i7,12.0,14,16.0,16,lpddr5,SSD,512.0,15.6, 1920 x 1080 ,Windows ,1.0
dell,Dell G15-5521 D560897WIN9S Gaming ,138990,71.0,Intel,i9,12.0,14,16.0,16,lpddr5,SSD,1024.0,15.6, 2560 x 1440 ,Windows 11 ,1.0
asus,Asus Vivobook 15 OLED X1505ZA-L1511WS ,67500,61.0,Intel,i5,12.0,10,16.0,16,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
microsoft,Microsoft Surface Pro 9 QEZ-00065 ,99999,,Intel,i5,12.0,10,8.0,8,lpddr5,SSD,256.0,13.0, 2880 x 1920 ,Windows 11 ,1.0
hp,HP Victus 15-fb0082AX Gaming ,71990,72.0,AMD,ryzen,5.0,6,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
acer,Acer One 14 Z2-493 Business ,39990,,AMD,ryzen,3.0,4,16.0,16,ddr4,SSD,512.0,14.0, 1366 x 768 ,Windows 11 ,1.0
dell,Dell Inspiron 5320 ,76990,66.0,Intel,i5,12.0,12,16.0,16,ddr5,SSD,512.0,13.3, 2560 x 1600 ,Windows 11 ,1.0
asus,Asus TUF Gaming A15 2022 FA506QM-HN008W Gaming ,89990,75.0,AMD,ryzen,5.0,8,16.0,16,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
msi,MSI Pulse GL66 12UEK-898IN Gaming ,125990,75.0,Intel,i9,12.0,14,16.0,16,ddr4,SSD,1024.0,15.6, 2560 x 1440 ,Windows 11 ,2.0
lenovo,Lenovo IdeaPad Slim 3 81X800LCIN ,34490,,Intel,i3,11.0,2,8.0,8,ddr4,SSD,256.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
asus,Asus ProArt StudioBook Pro 16 OLED H7600ZM-L701WS ,198490,88.0,Intel,i7,12.0,14,16.0,16,ddr5,SSD,1024.0,16.0, 3840 x 2400 ,Windows 11 ,1.0
msi,MSI Bravo 15 B5DD-410IN Gaming ,49990,68.0,AMD,ryzen,5.0,6,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
lenovo,Lenovo Ideapad Slim 3 82H802KVIN ,53209,,Intel,i5,11.0,4,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
infinix,Infinix INBook X1 Neo ,20990,,Intel,celeron,,4,4.0,4,lpddr4x,SSD,128.0,14.0, 1920 x 1080 ,Windows 11 ,1.0
lenovo,Lenovo IdeaPad 3 14ITL6 82H701DYIN ,37990,,Intel,i3,11.0,2,8.0,8,ddr4,SSD,512.0,14.0, 1920 x 1080 ,Windows 11 ,1.0
acer,Acer Aspire 3 A315-23 UN.HVTSI.013 ,26990,,AMD,ryzen,3.0,2,8.0,8,ddr4,SSD,256.0,15.6, 1920 x 1200 ,Windows 11 ,1.0
hp,HP 15s-eq1560AU ,37990,61.0,AMD,ryzen,3.0,2,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
