,model,price,score,processor,no of cores,storage,ram,display,os,warranty
0,Infinix Zero Book Ultra Laptop (12th Gen Core i9/ 32GB/ 1TB SSD/ Win 11 Home),"₹84,490",65,12th Gen Intel Core i9 12900H,"14 Cores (6P + 8E), 20 Threads",1 TB SSD,32 GB LPDDR5 RAM,Windows 11 OS,1 Year Warranty,Backlit Keyboard
1,HP Pavilion 15-ec2004AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win10 Home/ 4GB Graph),"₹52,990",63,5th Gen AMD Ryzen 5  5600H,"Hexa Core, 12 Threads",512 GB SSD,8 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 10 OS,1 Year Warranty
2,Dell Inspiron 3520 Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),"₹45,200",,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",512 GB SSD,8 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
3,HP 15s-fr4000TU Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),"₹52,990",63,11th Gen Intel Core i5 1155G7,"Quad Core, 8 Threads",512 GB SSD,8 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
4,HP Victus 15-fa0070TX Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹67,990",71,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",512 GB SSD,8 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
5,Lenovo V15 ITL G2 82KBA033IH Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11),"₹33,999",61,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",512 GB SSD,8 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
6,HP 15s-eq1559AU Laptop (AMD Athlon Silver 3050U/ 8GB/ 512GB/ Win11),"₹29,300",,3rd Gen AMD Athlon Silver 3050U,"Dual Core, 2 Threads",512 GB SSD,8 GB DDR4 RAM,"15.6 inches, 1366 x 768 pixels",Windows 11 OS,1 Year Warranty
7,Lenovo IdeaPad Gaming 3 82K101ECIN Laptop (11th Gen Core i5/ 8GB/ 1TB 256GB SSD/ Win11 Home/ 4GB Graph),"₹54,990",73,11th Gen Intel Core i5 11320H,"Quad Core, 8 Threads",1 TB Hard Disk,8 GB DDR4 RAM,4 GB NVIDIA GeForce GTX 1650,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
8,HP 15s-fq5111TU Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),"₹56,899",61,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",512 GB SSD,8 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
9,Dell Inspiron 3520 D560871WIN9B Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),"₹57,831",,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",512 GB SSD,8 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
10,MSI Thin GF63 11SC-852IN Gaming Laptop (11th Gen Core i7/ 8GB/ 512GB SSD/ Win10 Home/ 4GB Graph),"₹63,500",73,11th Gen Intel Core i7 11800H,"Octa Core, 16 Threads",512 GB SSD,8 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 10 OS,2 Year Warranty
11,Asus Vivobook 16X 2022 M1603QA-MB502WS Laptop (Ryzen 5-5600H/ 8GB/ 512GB SSD/ Win11 Home),"₹49,990",66,5th Gen AMD Ryzen 5 5600H,"Hexa Core, 12 Threads",512 GB SSD,8 GB DDR4 RAM,"16 inches, 1200 x 1920 pixels",Windows 11 OS,1 Year Warranty
12,HP 15s-fq5007TU Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),"₹47,490",60,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",512 GB SSD,8 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
13,Samsung Galaxy Book 3 Laptop (13th Gen Core i5/ 8GB/ 512GB SSD/ Win11),"₹69,990",,13th Gen Intel Core i5 1340P,"12 Cores (4P + 8E), 16 Threads",512 GB SSD,8 GB LPDDR5 RAM,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
14,Lenovo V15 82KDA01EIH Laptop (AMD Ryzen 3 5300U/ 8GB/ 512GB SSD/ Win11 Home),"₹35,499",62,5th Gen AMD Ryzen 3 5300U,"Quad Core, 8 Threads",512 GB SSD,8 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
15,Infinix Zero Book Series ZL12 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win 11 Home),"₹49,490",62,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",512 GB SSD,16 GB LPDDR5 RAM,"15.6 inches, 1920 x 1080 pixels",Windows OS,1 Year Warranty
16,Lenovo V15 82KBA03HIH Laptop (11th Gen Core i3/ 8GB/ 1TB 256GB SSD/ Win11 Home),"₹35,499",61,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",1 TB Hard Disk,8 GB DDR4 RAM,Intel Integrated UHD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
17,Infinix INBook X1 XL11 Laptop (10th Gen Core i3/ 8GB/ 256GB SSD/ Win11),"₹30,990",,10th Gen Intel Core i3 1005G1,"Dual Core, 4 Threads",256 GB SSD,8 GB LPDDR4X RAM,"14 inches, 1920 x 1080 pixels",Windows 11  OS,1 Year Warranty
18,Apple MacBook Air 2020 MGND3HN Laptop (Apple M1/ 8GB/ 256GB/ MacOS),"₹83,900",,Apple M1,Octa Core (4P + 4E),256 GB SSD,8 GB DDR4 RAM,"13.3 inches, 2560 x 1600 pixels",Mac OS,1 Year Warranty
19,Primebook 4G Android Laptop (MediaTek Kompanio 500/ 4GB/ 128GB eMMC/ Android 11),"₹19,999",,MediaTek Kompanio 500 MTK8788,Octa Core,128 GB Hard Disk,4 GB LPDDR4 RAM,"11.6 inches, 1366 x 768 pixels",1 Year Warranty,2 USB 3.0 Ports
20,Asus TUF Gaming A17 FA706IHRB-HX041W Gaming Laptop (AMD Ryzen 5 4600H/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹63,990",67,4th Gen AMD Ryzen 5  4600H,"Hexa Core, 12 Threads",512 GB SSD,8 GB DDR4 RAM,"17.3 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
21,Xiaomi RedmiBook Pro 15 Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win10),"₹42,490",61,11th Gen Intel Core i5 11300H,"Quad Core, 8 Threads",512 GB SSD,8 GB DDR4  RAM,"15.6 inches, 1920 x 1080 pixels",Windows 10  OS,1 Year Warranty
22,Lenovo IdeaPad D330 82H0001YIN Laptop (Celeron N4020/ 4GB/ 128GB eMMC/ Win10),"₹21,499",,Intel Celeron N4020 N4020 ,"Quad Core, 2 Threads",128 GB Hard Disk,4 GB DDR4 RAM,"10.1 inches, 1200 x 800 pixels, Touch Screen",Windows 10 10 OS,1 Year Warranty
23,HP 15s-er1501AU Laptop (AMD Ryzen 3 3250U/ 8GB/ 256GB SSD/ Win11 Home),"₹27,990",,3rd Gen AMD Ryzen 3  3250U,"Dual Core, 4 Threads",256 GB SSD,8 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
24,Dell Inspiron 3511 Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),"₹38,170",,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",512 GB SSD,8 GB DDR4 RAM,"15.56 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
25,Lenovo E41-55 Laptop (Athlon Pro 3045B/ 8GB/ 256 SSD/ Win11),"₹18,990",,AMD Athlon Pro 3045B,"Dual Core, 2 Threads",256 GB SSD,8 GB  RAM,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
26,Lenovo IdeaPad Gaming 3 82K201UEIN Laptop (AMD Ryzen 5-5600H/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹58,490",69,5th Gen AMD Ryzen 5  5600H,"Hexa Core, 12 Threads",512 GB SSD,8 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
27,Asus Vivobook 16X 2022 M1603QA-MB511WS Laptop (Ryzen 5-5600H/ 16GB/ 512GB SSD/ Win11 Home),"₹54,490",67,5th Gen AMD Ryzen 5 5600H,"Hexa Core, 12 Threads",512 GB SSD,16 GB DDR4 RAM,"16 inches, 1920 x 1200 pixels",Windows 11 OS,1 Year Warranty
28,Asus Vivobook Pro 15 OLED M6500QH-HN701WS Laptop (Ryzen 7 5800H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),"₹65,990",68,5th Gen AMD Ryzen 7 5800H ,"Octa Core, 16 Threads",512 GB SSD,16 GB DDR4  RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
29,Dell Inspiron 3511 Laptop (11th Gen Core i5/ 8GB/ 1TB 256GB SSD/ Win10/ 2GB Graph),"₹58,490",65,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",1 TB Hard Disk,8 GB DDR4 RAM,2 GB NVIDIA GeForce MX350,"15.6 inches, 1920 x 1080 pixels",Windows 10 OS
30,Asus Vivobook S15 OLED K3502ZA-L501WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),"₹67,490",65,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",512 GB SSD,16 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
31,Primebook 4G Android Laptop (MediaTek Kompanio 500/ 4GB/ 64GB eMMC/ Android 11),"₹16,990",,MediaTek Kompanio 500 MTK8788,Octa Core,64 GB Hard Disk,4 GB LPDDR4 RAM,"11.6 inches, 1366 x 768 pixels",Android 11 OS,1 Year Warranty
32,Lenovo V15 82KDA00XIH Laptop (AMD Ryzen 5 5500U/ 8GB/ 512GB SSD/ Win11 Home),"₹38,799",,5th Gen AMD Ryzen 5 5500U,"Hexa Core, 12 Threads",512 GB SSD,8 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
33,Lenovo IdeaPad Gaming 3 15IHU6 82K101B6IN Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹52,890",69,11th Gen Intel Core i5 11320H,"Quad Core, 8 Threads",512 GB SSD,8 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
34,HP 15s-FR2511TU Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win 11 Home),"₹40,990",60,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",512 GB SSD,8 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
35,MSI Thin GF63 11SC-853IN Gaming Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win10 Home/ 4GB Graph),"₹49,990",71,11th Gen Intel Core i5 11400H,"Hexa Core, 12 Threads",512 GB SSD,8 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 10 OS,2 Year Warranty
36,HP 15s-eq2144au Laptop (Ryzen 5 5500U/ 8GB/ 512GB SSD/ Win11 Home),"₹45,729",61,5th Gen AMD Ryzen 5  5500U,"Hexa Core, 12 Threads",512 GB SSD,8 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
37,HP Victus 15-fa0165TX Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹68,200",73,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",512 GB SSD,8 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
38,Asus VivoBook 14 X415JA-BV301WS Laptop (10th Gen Core i3/ 8GB/ 1TB HDD/ Win11),"₹28,990",,10th Gen Intel Core i3 1005G1,"Dual Core, 4 Threads",1 TB Hard Disk,8 GB  RAM,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
39,HP 245 G8 62G68PA Laptop (AMD Ryzen 3  3250U/ 8GB/ 1TB HDD/ Win11 Home),"₹27,999",,3rd Gen AMD Ryzen 3  3250U,"Dual Core, 4 Threads",1 TB Hard Disk,8 GB DDR4 RAM,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
40,Asus Vivobook Pro 15 OLED M3500QC-L1502WS Gaming Laptop (AMD Ryzen 5 5600H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),"₹69,490",67,5th Gen AMD Ryzen 5 5600H,"Hexa Core, 12 Threads",512 GB SSD,16 GB DDR4  RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
41,HP Pavilion 15s-eq2182AU Laptop (Ryzen 5 5500U/ 16GB/ 512GB SSD/ Win11 Home),"₹50,490",63,5th Gen AMD Ryzen 5  5500U ,"Hexa Core, 12 Threads",512 GB SSD,16 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
42,HP Pavilion 15-eg2009TU Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),"₹63,490",62,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",512 GB SSD,8 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
43,Jio JioBook NB1112MM Notebook (MediaTek MT8788/ 2GB/ 64GB eMMC/ Android 11),"₹21,999",,MediaTek  MT8788  MT8788 ,Octa Core,64 GB Hard Disk,2 GB  RAM,"14 inches, 1366 x 768 pixels",Android 11 OS,1 Year Warranty
44,Asus Vivobook Pro 15 OLED K6502HCB-LP901WS Gaming Laptop (11th Gen Core i9/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),"₹94,280",69,11th Gen Intel Core i9 11900H,"Octa Core, 16 Threads",512 GB SSD,16 GB  RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
45,Dell Inspiron 3520 Laptop (12th Gen Core i5/ 8GB/ 1TB 256GB SSD/ Win11),"₹55,111",,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",1 TB Hard Disk,8 GB DDR4 RAM,Intel Iris Xe Graphics,"15.6 inches, 1920 x 1080 pixels, Touch Screen",Windows 11 OS
46,Dell Inspiron 5320 Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11),"₹84,918",65,12th Gen Intel Core i7 1260P,"12 Cores (4P + 8E), 16 Threads",512 GB SSD,16 GB DDR5 RAM,"13.3 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
47,HP Pavilion x360 14-ek0074TU Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),"₹73,490",68,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",512 GB SSD,16 GB DDR4 RAM,"14 inches, 1920 x 1080 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
48,HP Victus 15-fb0040AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),"₹59,990",72,5th Gen AMD Ryzen 5  5600H ,"Hexa Core, 12 Threads",512 GB SSD,8 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
49,HP 14s-dy5005TU Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),"₹58,899",,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",512 GB SSD,16 GB DDR4 RAM,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
50,Lenovo IdeaPad Slim 1 82R10049IN Laptop (AMD Ryzen 3 3250U/ 8GB/ 512GB SSD/ Win11 Home),"₹33,019",60,3rd Gen AMD Ryzen 3 3250U,"Dual Core, 4 Threads",512 GB SSD,8 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
51,i-Life ZED ZED Book Grin Laptop (Atom Quad Core/ 2GB/ 32GB/ Win10),"₹8,900",,Intel Atom  x5-Z8350,Quad Core,Intel Integrated HD 400,2 GB DDR3 RAM,Windows 10 OS,1 Year Warranty,
52,HP 15s- eq2212AU Laptop (AMD Ryzen 3 5300U/ 8GB/ 512GB SSD/ Win11 Home),"₹37,950",,5th Gen AMD Ryzen 3  5300U,"Quad Core, 8 Threads",512 GB SSD,8 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
53,Infinix Zero Book Ultra Laptop (12th Gen Core i9/ 16GB/ 512 SSD/ Win 11 Home),"₹79,490",65,12th Gen Intel Core i9 12900H,"14 Cores (6P + 8E), 20 Threads",512 GB SSD,16 GB LPDDR5 RAM,Windows 11 OS,1 Year Warranty,Backlit Keyboard
54,Dell Inspiron 3520 D560869WIN9B Laptop (12th Gen Core i3/ 8GB/ 256GB SSD/ Win11),"₹47,990",65,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",512 GB SSD,8 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
55,Acer One 14 Z2-493 Laptop (AMD Ryzen 3 3250U/ 4GB/ 256GB SSD/ Win11),"₹20,990",,3rd Gen AMD Ryzen 3  3250U,"Dual Core, 4 Threads",256 GB SSD,4 GB DDR4 RAM,"14 inches, 1366 x 768 pixels",Windows 11 OS,1 Year Warranty
56,HP Victus 16-e0352AX Gaming Laptop (Ryzen 5-5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),"₹63,990",72,5th Gen AMD Ryzen 5 5600H ,"Hexa Core, 12 Threads",512 GB SSD,8 GB DDR4 RAM,"16.1 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
57,Apple MacBook Air 2022 Laptop (Apple M2/ 8GB/ 256GB/ MacOS),"₹1,07,990",,Apple M2,Octa Core (4P + 4E),256 GB SSD,8 GB DDR4 RAM,"13.6 inches, 2560 x 1664 pixels",Mac OS,1 Year Warranty
58,Asus Zenbook 17 Fold UX9702AA-MD023WS Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home),"₹3,29,990",80,12th Gen Intel Core i7 1250U ,"10 Cores, 12 Threads",1 TB SSD,16 GB LPDDR5 RAM,"17.3 inches, 2560 x 1920 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
59,Nokia PureBook S14 NKi511TL165S Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win 11 Home),"₹40,990",62,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",512 GB SSD,16 GB DDR4 RAM,"14.1 inches, 1920 x 1080 pixels",Windows OS,1 Year Warranty
60,Apple MacBook Pro 16 inch Laptop (M2 Max 12-core CPU/ 32GB/ 1TB SSD/ Mac OS/ 38-core GPU),"₹3,49,900",66,Apple M2 Max,12 Cores (8P + 4E),1 TB SSD,32 GB Unified Memory RAM,"16.2 inches, 3456 x 2234 pixels",Mac OS,1 Year Warranty
61,Asus Vivobook Pro 15 OLED M6500IH-HN701WS Laptop (Ryzen 7-4800H/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹59,990",69,4th Gen AMD Ryzen 7  4800H,"Octa Core, 16 Threads",512 GB SSD,16 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
62,Lenovo IdeaPad Slim 5 82SF008YIN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),"₹68,300",66,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",512 GB SSD,16 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
63,Asus TUF Gaming A15 2022 FA577RE-HN055WS Gaming Laptop (AMD Ryzen 7 6800H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),"₹88,687",80,6th Gen AMD Ryzen 7 6800H ,"Octa Core, 16 Threads",512 GB SSD,16 GB DDR5 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
64,Asus VivoBook 14 X415EA-EK701WS Laptop (11th Gen Core i7/ 16GB/ 512GB SSD/ Win11),"₹56,990",69,11th Gen Intel Core i7 1165G7,"Quad Core, 8 Threads",512 GB SSD,16 GB DDR4 RAM,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
65,Asus VivoBook 15 X1500EA-EJ701W Laptop (11th Gen Core i7/ 16GB/ 512GB SSD/ Win11),"₹56,490",63,11th Gen Intel Core i7 1165G7,"Quad Core, 8 Threads",512 GB SSD,16 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
66,HP 247 G8 ‎6B5R3PA Laptop (AMD Ryzen 3 5300U/ 8GB/ 512GB SSD/ FreeDOS),"₹30,290",,5th Gen AMD Ryzen 3  5300U,"Quad Core, 8 Threads",512 GB SSD,8 GB DDR4 RAM,"14 inches, 1366 x 768 pixels",DOS OS,1 Year Warranty
67,Asus Vivobook 15 2022 X1502ZA-EJ312WS Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),"₹42,600",,12th Gen Intel Core i3 1220P,"10 Cores (2P + 8E), 12 Threads",512 GB SSD,8 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
68,HP Pavilion 14-dv2041TU Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win 11),"₹71,990",62,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",512 GB SSD,16 GB DDR4 RAM,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
69,Asus Vivobook Pro 14 OLED M3400QA-KM502WS Gaming Laptop (Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11),"₹53,990",69,5th Gen AMD Ryzen 5 5600H,"Hexa Core, 12 Threads",512 GB SSD,8 GB DDR4 RAM,"14 inches, 2880 x 1800 pixels",Windows 11 OS,1 Year Warranty
70,Asus TUF Gaming A15 FA506IHRZ-HN111W Laptop (AMD Ryzen 5 4600H/ 8GB / 512GB SSD/ Win11 Home / 4GB Graph),"₹54,589",69,4th Gen AMD Ryzen 5 4600H,"Hexa Core, 12 Threads",512 GB SSD,8 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
71,Acer Aspire 5 A515-57G UN.K9TSI.002 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹62,990",69,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",512 GB SSD,16 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
72,Lenovo IdeaPad Slim 3 82RK0062IN Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),"₹57,459",,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",512 GB SSD,8 GB  RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
73,Lenovo IdeaPad Slim 1 82R1004AIN Laptop (AMD Ryzen 5 3500U/ 8GB/ 512GB SSD/ Win11 Home),"₹38,900",61,3rd Gen AMD Ryzen 5 3500U,"Quad Core, 8 Threads",512 GB SSD,8 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
74,MSI Gaming Crosshair 15 B12UEZ-677IN Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home/ 6GB Graph),"₹1,10,900",84,12th Gen Intel Core i7 12700H,"14 Cores (6P + 8E), 20 Threads",1 TB SSD,16 GB DDR4 RAM,"15.6 inches, 2560 x 1440 pixels",Windows 11 OS,2 Year Warranty
75,Dell G15-5511 Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹69,790",69,11th Gen Intel Core i5 11260H,"Hexa Core, 12 Threads",512 GB SSD,16 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
76,HP Pavilion 15-eg2002TU Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),"₹70,990",65,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",512 GB SSD,16 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
77,HP 14s-fq1092au Laptop (Ryzen 5 5500U/ 8GB/ 512GB SSD/ Win11 Home),"₹46,300",65,5th Gen AMD Ryzen 5  5500U,"Hexa Core, 12 Threads",512 GB SSD,8 GB DDR4 RAM,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
78,Asus VivoBook 15 X515EA-EJ322WS Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11),"₹38,490",,11th Gen intel Core i3 1115G4,"Dual Core, 4 Threads",512 GB SSD,8 GB DDR4  RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
79,HP Victus 16-e0162AX Gaming Laptop (Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win10/ 4GB Graph),"₹56,960",65,5th Gen AMD Ryzen 5  5600H ,"Hexa Core, 12 Threads",512 GB SSD,8 GB DDR4 RAM,"16.1 inches, 1920 x 1080 pixels",Windows 10  OS,1 Year Warranty
80,Dell Latitude 5420 Laptop (11th Gen Core i5/ 8GB/ 256GB SSD/ Win10 Pro),"₹74,500",60,11th Gen Intel Core i5 1135G7 ,"Quad Core, 8 Threads",256 GB SSD,8 GB DDR4 RAM,"14 inches, 1920 x 1080 pixels",Windows 10  OS,1 Year Warranty
81,Dell Latitude 3420 Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win10 Pro),"₹66,990",,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",512 GB SSD,8 GB DDR4 RAM,"14 inches, 1366 x 768 pixels",Windows 10  OS,1 Year Warranty
82,HP 14s-dq2649TU Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),"₹45,890",,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",512 GB SSD,8 GB DDR4 RAM,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
83,HP 247 G8 600A9PA Laptop (AMD Ryzen 3 5300U/ 8GB/ 512GB SSD/ Win11),"₹32,999",61,5th Gen AMD Ryzen 3  5300U,"Quad Core, 8 Threads",512 GB SSD,8 GB DDR4 RAM,"14 inches, 1366 x 768 pixels",Windows 11 OS,1 Year Warranty
84,Asus VivoBook 15 K513EP-BQ1093T Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win10/ 2GB Graph),"₹45,990",,11th Gen Intel Core i5 1135G7 ,"Quad Core, 8 Threads",512 GB SSD,8 GB DDR4  RAM,"15.6 inches, 1920 x 1080 pixels",Windows 10 OS,1 Year Warranty
